(2) {'3S', 'AC', '7D', '2S', '5D'} won by high card A
(2) {'3C', 'KH', 'QS', 'QD', '5D'} won by pair
(2) {'3S', 'AD', 'AS', '5S', '7H'} won by pair
(2) {'AS', 'QS', 'AC', '9S', '6D'} won by a higher pair A
(2) {'6C', '9D', '8S', '8D', '6H'} won by 2 pair
(2) {'3S', 'AS', 'KS', '8C', '6D'} won by high card A
(1) {'TC', '3H', '8D', '6S', 'TS'} won by pair
(1) {'8S', 'QC', '4S', '4H', '8C'} won by 2 pair
(2) {'TC', 'AD', 'QC', '6S', 'TS'} won by pair
(1) {'8S', 'TH', 'QC', 'QD', '4S'} won by pair
(2) {'9D', '3C', '7D', 'QD', 'QH'} won by a higher pair Q
(1) {'KD', '6C', '7S', 'KC', '9H'} won by pair
(2) {'3H', '3C', 'TH', '7D', 'QC'} won by pair
(2) {'3C', '4C', 'TH', '4H', '8C'} won by pair
(1) {'TH', 'JD', '4S', 'JC', '6S'} won by a higher pair J
(2) {'JH', '2H', '6S', '6H', '2C'} won by 2 pair
(1) {'TC', '8S', 'AD', 'TD', 'AH'} won by 2 pair
(2) {'5S', 'QH', '9H', 'AH', '7H'} won by high card A
(2) {'3H', 'AD', '5H', 'AS', 'JS'} won by pair
(2) {'8S', 'AD', '7S', '5D', '5C'} won by pair
(2) {'6C', '8S', '5H', '4C', '8C'} won by pair
(2) {'7C', 'QS', 'QC', 'JC', '3D'} won by pair
(1) {'JH', 'KH', 'QS', 'JC', '9C'} won by pair
(1) {'JH', 'AC', '5D', '9S', '5C'} won by pair
(2) {'5S', '4D', '6H', '2C', '3D'} won by straight
(2) {'3S', '7S', 'QH', '8C', '3D'} won by pair
(2) {'3C', 'KH', 'KS', '9S', '6D'} won by pair
(2) {'KD', 'KH', 'AC', '4D', '7H'} won by a higher pair A
(1) {'AD', 'TH', 'AH', '9C', '6D'} won by a higher pair A
(1) {'7C', 'QS', 'QD', '6H', '9C'} won by a higher pair Q
(2) {'KH', '5S', 'KS', '4H', 'JC'} won by pair
(2) {'AS', 'KC', 'AH', '8C', '3D'} won by pair
(2) {'4C', '5S', 'TH', '5C', '8C'} won by pair
(1) {'QS', 'QC', '2S', '2C', '8C'} won by 2 pair
(1) {'8S', 'AD', '2D', '5D', 'AH'} won by pair
(2) {'JD', '9S', '4H', '9H', '6H'} won by a higher pair Q
(2) {'4C', 'AC', '2H', '8D', '4S'} won by pair
(2) {'7C', 'TC', '7S', 'QS', 'QD'} won by 2 pair
(2) {'JH', 'QD', 'JS', '4S', '4H'} won by 2 pair
(2) {'TC', '8C', 'QC', '4H', 'TS'} won by pair
(1) {'9D', 'JH', 'QS', '4D', 'QH'} won by a higher pair Q
(1) {'5H', 'JD', '4H', '9S', '5C'} won by pair
(2) {'AS', 'JS', '8D', 'AH', '7H'} won by pair
(1) {'AD', 'KS', 'JS', 'AH', '8C'} won by pair
(1) {'AD', 'KS', 'AC', '2H', '5D'} won by pair
(2) {'JH', '4C', 'JD', 'JS', '6S'} won by three
(2) {'4C', '3C', 'QS', 'KC', '5D'} won by high card K
(1) {'6C', '4H', '6S', '6H', '7H'} won by three
(2) {'3S', 'AD', 'TD', '4D', 'TS'} won by a higher pair A
(1) {'7C', '8S', '5S', '7D', '2C'} won by pair
(2) {'5H', 'QD', '9H', '9C', '6D'} won by a higher pair Q
(2) {'9D', 'TS', 'TD', 'AC', '8C'} won by pair
(1) {'5H', 'AC', '2S', 'QD', '8C'} won by high card A
(2) {'AD', 'QS', '4D', 'JS', '4S'} won by pair
(1) {'AD', 'TD', 'AS', '4D', '2S'} won by pair
(2) {'3S', '6C', 'KC', 'JS', '4S'} won by high card K
(2) {'8S', 'QS', 'JD', 'QH', '3D'} won by pair
(2) {'KD', 'TC', 'AC', 'AH', '6D'} won by pair
(2) {'AD', 'KH', 'AC', '8D', '5C'} won by a higher pair A
(1) {'4C', 'KH', 'AS', '5S', 'AC'} won by pair
(2) {'9D', 'QD', 'QH', '5C', '9C'} won by 2 pair
(2) {'TD', '5H', 'QH', 'JC', '9C'} won by high card Q
(2) {'6C', '7S', 'AS', 'KS', 'JD'} won by high card A
(1) {'7C', 'TC', 'JH', '9H', '7H'} won by a higher pair J
(1) {'9D', 'JH', '2H', 'QD', '2C'} won by pair
(2) {'QS', 'KS', '7D', '4H', '6S'} won by high card K
(1) {'TC', 'KS', '5S', '8H', '8D'} won by a higher pair A
(2) {'KD', '9D', '4C', 'QS', '9S'} won by pair
(1) {'9D', '3H', 'KH', 'AS', 'AC'} won by a higher pair A
(1) {'7S', '7D', '9H', '5C', '3D'} won by pair
(2) {'6C', '7S', '4D', 'QH', '6S'} won by pair
(1) {'6C', 'AD', '4C', 'QD', '6D'} won by pair
(1) {'JH', '7S', '2H', 'JD', '9S'} won by a higher pair K
(1) {'9D', '2D', '4C', '7D', '9S'} won by a higher pair A
(1) {'JH', '7S', 'QD', 'JC', '6D'} won by pair
(1) {'KD', 'JH', 'TD', '2H', '8C'} won by high card K
(2) {'3S', '8S', 'KH', '5S', '5D'} won by pair
(2) {'JH', 'JC', '6S', '9C', '6D'} won by 2 pair
(1) {'5H', 'JD', 'JS', 'AH', '9C'} won by pair
(2) {'7C', '8S', 'TD', '8C', '9C'} won by pair
(1) {'KH', 'KC', 'QD', '2C', '9C'} won by pair
(2) {'3S', 'TD', '3C', 'QD', '9S'} won by pair
(2) {'2S', 'JD', 'JS', 'QH', '6S'} won by pair
(2) {'5D', '8H', '6S', 'AH', '7H'} won by high card A
(2) {'7S', 'QS', 'AC', 'QH', '4H'} won by pair
(2) {'3S', '7C', '9D', 'KS', 'AH'} won by high card A
(1) {'AD', '2D', '5S', '2H', '6S'} won by pair
(2) {'8S', 'JH', 'AS', 'KS', '6D'} won by high card A
(2) {'TC', '6C', 'AS', 'KC', 'TS'} won by a higher pair A
(2) {'7C', 'TD', '4C', '5S', 'TH'} won by pair
(2) {'5H', '2D', '5S', '5D', '9C'} won by three
(2) {'7C', 'KD', 'KS', 'QC', '9C'} won by pair
(2) {'6C', 'AS', 'QD', '5C', '2C'} won by high card A
(2) {'AC', '4D', '2S', '8D', '5C'} won by high card A
(2) {'3S', 'TD', '3C', 'KS', '9H'} won by pair
(2) {'3S', '6C', '5H', '6H', '8C'} won by pair
(2) {'TH', '4D', '5D', '4H', 'TS'} won by 2 pair
(2) {'AC', '2H', '7D', 'QD', '3D'} won by high card A
(2) {'3H', 'JH', 'TD', '4C', '4H'} won by pair
(1) {'5H', '7S', 'KH', '8H', '7H'} won by pair
(1) {'7C', 'KD', 'AD', '5H', 'KH'} won by a higher pair A
(2) {'3S', 'KH', 'KC', '2H', '7H'} won by pair
(1) {'8S', 'AD', '7S', '4D', '4H'} won by pair
(1) {'KD', 'TC', 'KS', '8D', '9S'} won by pair
(2) {'7C', '9D', 'TC', '9S', '6H'} won by pair
(2) {'JH', '3C', 'KH', 'TH', 'JS'} won by a higher pair K
(2) {'KD', 'AD', '7S', 'AS', '8H'} won by pair
(2) {'AD', 'AS', 'JS', '9S', '9C'} won by 2 pair
(1) {'AD', 'AC', 'QD', '6S', '2C'} won by a higher pair A
(2) {'7S', 'KH', 'KC', '8C', 'TS'} won by a higher pair K
(2) {'AD', 'KS', '7D', '5C', '6D'} won by high card A
(2) {'6C', 'TD', '7S', '7D', '2H'} won by pair
(1) {'9D', 'TD', 'QS', '5S', 'AC'} won by high card A
(2) {'4C', 'KC', '5D', '7H', '3D'} won by high card K
(2) {'TC', '5H', '5S', 'QC', '9H'} won by pair
(1) {'5H', 'TH', 'QD', 'TS', '9C'} won by pair
(2) {'TD', 'TH', '2H', '2C', '3D'} won by 2 pair
(2) {'AD', 'KC', '8D', '8C', '6D'} won by pair
(2) {'TD', '7S', '8H', '9S', 'JC'} won by straight
(2) {'KD', 'TC', 'TD', 'TH', 'KS'} won by full house
(2) {'8S', '5H', 'AS', 'KH', '5C'} won by pair
(2) {'9D', '8S', '7S', '5D', '7H'} won by pair
(2) {'KD', 'TC', '7D', '2C', 'TS'} won by pair
(2) {'KD', 'KH', 'JD', '4S', '8D'} won by pair
(1) {'AD', 'AS', '7D', 'QH', '5C'} won by a higher pair A
(2) {'6C', 'AD', 'QC', '5D', '6D'} won by pair
(2) {'TC', 'TD', 'JS', '4H', 'AH'} won by a higher pair A
(1) {'2D', '4D', '2C', 'TS', '7H'} won by pair
(2) {'JH', '5H', '4S', '9H', '5C'} won by pair
(2) {'8S', '4C', '2H', '8D', '4H'} won by 2 pair
(1) {'KD', 'AC', 'JS', '6S', '3D'} won by high card A
(2) {'3S', '3H', '3C', 'QD', '4H'} won by three
(1) {'AS', 'KH', '4H', '8C', '7H'} won by high card A
(2) {'AD', '5H', 'AC', '2C', '3D'} won by pair
(1) {'JH', '2D', '4C', 'TD', 'TS'} won by a higher pair A
(1) {'5H', '4C', 'AS', '4D', '6S'} won by pair
(2) {'AD', '5H', 'QH', '4S', 'AH'} won by pair
(1) {'7C', 'KC', '2S', '9H', '7H'} won by a higher pair K
(1) {'TC', '3C', 'QD', '4H', '9C'} won by high card Q
(1) {'7C', '6C', '5D', '6S', '5C'} won by 2 pair
(1) {'AD', '7D', 'KC', '2H', '2C'} won by pair
(2) {'TD', 'AD', 'JH', 'AS', 'KS'} won by pair
(1) {'AD', 'TD', '4D', '4S', '5C'} won by pair
(1) {'3S', '5S', '4D', '8H', '4S'} won by a higher pair A
(1) {'3C', 'QS', 'AC', '4S', '9H'} won by high card A
(1) {'6C', '5H', 'AC', 'JC', 'TS'} won by high card A
(2) {'3C', 'QC', 'QH', '8D', '6H'} won by a higher pair Q
(2) {'7C', '3H', 'QS', 'QH', '6D'} won by pair
(2) {'3S', 'KH', '2H', 'JS', '8C'} won by high card K
(2) {'3H', '7S', 'AC', 'JD', 'JC'} won by pair
(1) {'6C', '2D', '4C', '3C', '5S'} won by straight
(2) {'AD', '6H', '8C', '7H', '6D'} won by pair
(2) {'KH', 'KS', '8H', 'AH', '6D'} won by a higher pair A
(1) {'8S', '3H', '7D', '8H', 'AH'} won by pair
(2) {'9D', 'AS', 'KS', 'QH', '9S'} won by pair
(2) {'KD', '4C', 'QS', 'JC', 'AH'} won by high card A
(2) {'TD', 'JD', 'QH', '6H', 'TS'} won by pair
(2) {'9D', '8S', '7S', '8D', '9C'} won by 2 pair
(2) {'3H', '8D', '8C', '7H', '3D'} won by 2 pair
(1) {'3S', 'KH', 'QS', '2S', '2C'} won by pair
(2) {'6C', '4C', 'AS', 'AC', '7H'} won by pair
(2) {'8S', 'TD', 'QS', '2H', '2C'} won by pair
(2) {'4C', '5S', '5D', '4H', 'JC'} won by 2 pair
(2) {'JS', '8H', 'QH', 'JC', '6D'} won by pair
(1) {'3S', '7C', '4C', 'QD', 'QH'} won by a higher pair A
(1) {'TC', 'TD', '2S', 'JC', '9H'} won by a higher pair Q
(2) {'3S', '3H', 'KC', '8H', '6S'} won by pair
(2) {'5H', 'TH', 'AC', '6H', '2C'} won by high card A
(2) {'6C', '8S', '2S', '6S', '8C'} won by 2 pair
(2) {'KD', '7S', '3C', 'QS', 'AC'} won by high card A
(2) {'3S', 'AS', 'KS', 'QC', '9S'} won by high card A
(2) {'KD', '3H', 'KC', '7D', '9H'} won by pair
(1) {'7C', 'KH', '2H', '4D', '4S'} won by pair
(1) {'9D', '3C', 'AS', '4C', 'JC'} won by high card A
(2) {'JH', '9H', '9C', '3D', '6D'} won by pair
(2) {'TC', 'KS', '2S', '6H', '9C'} won by high card K
(1) {'6C', 'AD', '6H', '8C', '7H'} won by pair
(1) {'3S', 'TS', '8S', 'KS', '8C'} won by a higher pair K
(1) {'7D', '4H', '4S', '9H', '5C'} won by a higher pair K
(1) {'TC', '9D', 'JS', '9H', '5C'} won by pair
(2) {'TC', 'TD', 'KH', '2H', 'JD'} won by pair
(2) {'9D', '5H', 'QS', 'QH', '6H'} won by a higher pair K
(2) {'JH', '2D', 'JD', '8D', 'JC'} won by three
(1) {'2D', '2H', 'JC', '2C', '7H'} won by three
(2) {'3H', 'TD', 'TH', '6H', '3D'} won by 2 pair
(1) {'3S', 'JH', 'AC', 'QH', 'JC'} won by pair
(2) {'2H', '4D', '5D', '2S', '9C'} won by pair
(2) {'KS', 'KC', '8H', 'JC', '6H'} won by a higher pair K
(2) {'6C', 'AC', '9S', '8D', '3D'} won by high card A
(2) {'8S', 'AD', '8D', '4H', '2C'} won by a higher pair A
(2) {'TC', '3C', 'AS', '5D', 'TS'} won by a higher pair A
(2) {'6C', 'AD', '2H', '4S', '3D'} won by high card A
(2) {'2D', '3C', '4D', '9S', '9H'} won by a higher pair K
(2) {'8S', '5S', 'AC', '9H', 'AH'} won by pair
(2) {'4C', 'QS', '8H', '4H', '9C'} won by pair
(2) {'QS', 'KC', 'QD', '6S', '9C'} won by pair
(2) {'JS', '4S', '4H', '6S', '8C'} won by pair
(2) {'3H', 'KH', 'TH', '5D', '8C'} won by high card K
(1) {'3S', '7S', 'KH', '5S', '2C'} won by high card K
(1) {'2D', 'KH', 'KS', 'AC', '8H'} won by pair
(2) {'7C', '6C', '5H', '9S', 'AH'} won by high card A
(2) {'7C', 'TD', '7S', 'QD', 'AH'} won by a higher pair A
(2) {'9D', '3H', '7S', 'AH', 'TS'} won by high card A
(2) {'7C', 'TD', '7S', '6H', '8C'} won by pair
(2) {'7D', 'JD', '4H', 'AH', '9C'} won by high card A
(2) {'2H', 'QC', 'QH', '9H', '2C'} won by 2 pair
(2) {'TD', '7S', 'QS', 'TH', '4H'} won by pair
(1) {'KD', '3H', '3C', 'QS', '2H'} won by pair
(1) {'KS', 'TH', 'QD', '9S', 'JC'} won by straight
(2) {'8S', 'AD', 'QC', '8D', 'AH'} won by 2 pair
(2) {'7C', '4C', 'KS', 'KC', '6H'} won by a higher pair K
(2) {'7S', 'AC', '4D', '6H', '2C'} won by high card A
(2) {'5H', '4C', 'KH', '9H', '6D'} won by high card K
(2) {'4C', 'KS', 'QD', '4S', '3D'} won by pair
(1) {'7C', '3C', 'AC', 'JD', 'JC'} won by pair
(1) {'AS', '5S', '2H', 'JD', '6S'} won by high card A
(1) {'TC', '8S', '5S', '8D', '9S'} won by pair
(2) {'4D', '5D', 'JS', '8D', '7H'} won by high card J
(2) {'8S', 'AS', '2H', '4H', '5C'} won by high card A
(2) {'KD', 'KC', '2S', '5D', 'JD'} won by a higher pair K
(1) {'4C', 'JD', '8H', '4S', '7H'} won by pair
(2) {'6C', 'AD', 'QC', 'QD', '2S'} won by pair
(2) {'AD', '5S', 'AC', '2H', '2S'} won by 2 pair
(2) {'9D', 'JH', '4C', '4S', '3D'} won by a higher pair A
(1) {'5H', '7S', '5D', '8D', '6H'} won by pair
(2) {'5S', '7D', 'JD', '8H', '5C'} won by pair
(2) {'TC', 'AD', '7S', 'JD', '7H'} won by pair
(1) {'9D', 'AC', '4D', '2S', 'TS'} won by high card A
(2) {'5H', '5D', '8D', '6H', '3D'} won by pair
(2) {'7C', '4C', 'KH', '2S', '7H'} won by pair
(1) {'3S', 'AC', '2H', 'JC', '5C'} won by high card A
(2) {'8S', '5S', '5D', 'JC', '2C'} won by pair
(1) {'6C', '7S', 'QC', 'QH', '7H'} won by 2 pair
(1) {'2H', '2S', 'QD', 'JC', '2C'} won by three
(1) {'7C', '8S', '7D', '5C', '9C'} won by a higher pair J
(2) {'9D', '7S', '4C', 'KH', 'KS'} won by pair
(2) {'3S', '9D', 'QC', '8D', 'AH'} won by high card A
(1) {'TC', '5H', '5S', 'KC', '6H'} won by pair
(1) {'KD', 'AD', 'TD', '4H', '9C'} won by high card A
(2) {'KD', '9D', '4C', 'KH', '4H'} won by 2 pair
(2) {'9D', '3H', 'QS', '2H', '7D'} won by high card Q
(2) {'AD', 'QS', 'QD', '6H', '5C'} won by pair
(1) {'TC', '5H', 'TH', 'QC', '7H'} won by a higher pair K
(2) {'3S', 'KS', 'JC', '5C', '2C'} won by high card K
(2) {'3S', '3H', 'JS', '9H', '3D'} won by three
(1) {'2D', '4D', '8H', '4S', '8C'} won by 2 pair
(1) {'4C', '8D', '9S', '9H', '2C'} won by pair
(2) {'9D', '5H', 'JC', 'AH', '9C'} won by pair
(2) {'3S', '7D', '4D', '6S', '3D'} won by pair
(2) {'3H', 'JD', '4H', '7H', '3D'} won by pair
(1) {'TH', '4D', '4H', '9H', '9C'} won by 2 pair
(1) {'8S', 'AD', 'AC', '2H', '4S'} won by pair
(2) {'TC', 'JD', '8H', '8C', '3D'} won by pair
(2) {'7C', '6C', 'JD', '9H', '9C'} won by pair
(1) {'JH', '5D', 'JS', '6S', 'AH'} won by pair
(2) {'3S', 'TC', '7D', 'AH', 'TS'} won by a higher pair A
(1) {'TD', 'AS', '5D', '8H', 'AH'} won by pair
(1) {'KS', '4D', '8D', '4S', '7H'} won by pair
(1) {'KD', '3H', 'QD', 'QH', '4S'} won by a higher pair K
(2) {'2D', 'KH', 'QS', 'KS', '4D'} won by a higher pair A
(1) {'KD', 'AD', '3C', 'JS', 'JC'} won by pair
(2) {'7C', 'AS', '2S', 'JD', 'QD'} won by high card A
(2) {'KS', 'AC', '5D', '8H', '9H'} won by high card A
(2) {'7C', '6C', '5S', 'JD', '6D'} won by pair
(1) {'TD', 'KH', 'QS', 'QD', '2C'} won by pair
(1) {'9D', 'TC', 'JH', 'QH', '9H'} won by pair
(1) {'3S', '6C', '2S', '4S', '3D'} won by a higher pair Q
(1) {'2D', '2S', 'JC', '6H', '6D'} won by 2 pair
(2) {'7C', 'AC', '4S', '4H', 'TS'} won by pair
(2) {'9D', '2D', 'KS', '2H', '4D'} won by pair
(1) {'9D', '6C', '4S', '9C', '6D'} won by 2 pair
(1) {'6C', 'JD', 'JC', 'AH', 'TS'} won by pair
(1) {'3S', 'JH', '7S', 'JD', 'JC'} won by three
(2) {'7S', '2H', 'JS', '9S', '7H'} won by pair
(2) {'AS', 'KC', 'JD', '6H', '2C'} won by high card A
(1) {'KD', '5H', '5S', 'AC', '2C'} won by pair
(1) {'TC', '8S', 'QH', '8D', 'JC'} won by a higher pair A
(1) {'8S', '3H', 'JH', 'QD', 'JS'} won by a higher pair Q
(1) {'5H', '4C', '4S', 'AH', '6D'} won by pair
(1) {'3H', '2H', 'JS', '8H', 'AH'} won by high card A
(1) {'KD', '5H', '2H', '8H', '6S'} won by high card K
(1) {'7S', 'KC', 'QC', '2S', 'AH'} won by high card A
(2) {'7C', '6C', '9D', '7S', '2H'} won by pair
(1) {'6C', '3C', '5S', 'JD', '5C'} won by pair
(2) {'TC', '5H', '2D', 'QS', '2H'} won by pair
(2) {'KD', '9D', '3C', '2H', '9S'} won by pair
(1) {'3S', 'QS', 'JS', '4S', '4H'} won by pair
(2) {'KH', 'QS', 'QC', '5D', 'QH'} won by three
(2) {'8S', '5H', 'KH', '8D', '8C'} won by three
(2) {'AS', '5S', 'QC', 'JS', '7H'} won by high card A
(2) {'6C', '2D', 'KC', '6S', '6H'} won by three
(2) {'KD', 'KH', '4D', '8H', '3D'} won by pair
(1) {'TC', 'JH', 'KH', 'AC', '9C'} won by high card A
(1) {'9D', '7S', '4C', 'AS', '4H'} won by pair
(1) {'3S', '8S', 'KS', '8D', '8C'} won by three
(2) {'9D', 'AC', 'QC', 'JS', '6H'} won by high card A
(1) {'7C', '8S', 'JD', 'JS', '8C'} won by 2 pair
(2) {'8S', 'JH', '2D', '4C', 'JS'} won by pair
(2) {'5H', 'KH', 'KC', 'QD', '4S'} won by a higher pair K
(1) {'2D', 'QD', '8D', '6S', '8C'} won by pair
(1) {'3C', 'QC', 'JS', 'QH', '3D'} won by 2 pair
(2) {'3H', 'KC', '2H', 'QC', '5D'} won by high card K
(2) {'QD', 'QH', 'AH', '3D', '6D'} won by pair
(2) {'5H', 'QS', 'AC', 'JD', 'TS'} won by high card A
(2) {'6C', 'AC', 'KC', 'QC', 'JS'} won by high card A
(2) {'8S', 'AD', '7S', '4H', '9S'} won by high card A
(1) {'5H', 'QD', 'QH', '4H', '9H'} won by pair
(2) {'2D', '4C', 'KH', 'JD', '2C'} won by pair
(1) {'3H', '2D', 'AH', '9H', '2C'} won by pair
(2) {'5H', 'AS', '2S', '4S', 'AH'} won by pair
(2) {'3S', 'TC', 'KH', 'AC', '5C'} won by high card A
(1) {'7S', 'QC', 'AH', '7H', '6D'} won by pair
(2) {'AS', 'KH', '5S', '7D', 'JC'} won by high card A
(2) {'KD', '6C', 'QD', '9H', '6S'} won by pair
(2) {'JH', 'JS', '4H', '9H', '2C'} won by pair
(2) {'3H', '7S', 'QS', '7D', '9S'} won by pair
(2) {'3S', '3H', '4D', 'QH', '4H'} won by 2 pair
(1) {'6C', 'AS', '2H', 'JD', '5C'} won by high card A
(2) {'AD', '7D', '9H', 'JC', '7H'} won by pair
(1) {'TC', '8C', '4H', '2C', 'TS'} won by pair
(2) {'9D', 'KC', '9H', '9C', '6D'} won by three
(2) {'TH', 'QD', '8H', '8D', 'JC'} won by pair
(1) {'QC', 'QD', '2S', '2C', '9C'} won by 2 pair
(2) {'TC', 'TD', '3C', 'JC', '9H'} won by a higher pair J
(1) {'4C', '3C', '8H', '5C', 'TS'} won by high card 10
(2) {'3S', 'AS', 'QS', 'AH', '2C'} won by pair
(2) {'3S', '4C', '5S', '7D', '6S'} won by straight
(2) {'KD', 'AS', 'QS', 'KS', 'KC'} won by three
(1) {'KD', 'KS', '4D', '9H', 'AH'} won by pair
(2) {'2H', 'QH', '9S', 'JC', 'AH'} won by high card A
(2) {'JH', '2H', 'QC', 'QD', '8H'} won by a higher pair Q
(2) {'JH', '4C', '7D', '6S', '6H'} won by pair
(1) {'JD', 'JS', '9H', 'AH', '9C'} won by 2 pair
(2) {'8S', 'AD', '9H', 'AH', '3D'} won by pair
(2) {'JH', '5H', 'AC', 'JS', 'AH'} won by 2 pair
(1) {'3C', 'AC', '2H', 'JD', '8D'} won by high card A
(1) {'7C', '6C', 'JH', 'JS', '9H'} won by a higher pair J
(2) {'AD', 'JH', 'QD', 'JS', '9H'} won by pair
(1) {'JH', '7S', 'KH', '6H', 'AH'} won by high card A
(2) {'9D', 'TC', '4C', 'QC', '9S'} won by a higher pair Q
(2) {'AS', '4D', 'QD', 'JS', '7H'} won by high card A
(2) {'9D', '3H', '5H', '3C', '9C'} won by 2 pair
(2) {'AS', 'AC', 'KC', '9S', '5C'} won by pair
(2) {'TC', '2D', 'KC', 'AH', '6D'} won by high card A
(2) {'KH', 'KS', '7D', '8D', '6D'} won by pair
(2) {'3S', '3H', '5S', 'QC', '8H'} won by pair
(1) {'3S', 'KD', '4C', 'AS', '8H'} won by high card A
(1) {'9D', 'JH', '7S', '7H', '6D'} won by a higher pair A
(1) {'8S', '4C', '2H', '4S', '2C'} won by 2 pair
(1) {'3S', '6C', '3H', 'QS', 'QC'} won by 2 pair
(1) {'3H', 'JH', '2H', '2S', '8D'} won by pair
(2) {'AD', '7S', '2H', '6S', 'TS'} won by high card A
(2) {'KC', '7D', 'JD', '4H', '5C'} won by high card K
(1) {'5S', 'QC', '4D', '9H', '9C'} won by pair
(2) {'5C', '7S', 'JS', '8H', '6H'} won by high card J
(2) {'5H', 'TH', 'KC', '4D', 'JC'} won by high card K
(2) {'2D', '4C', 'KC', '4D', '9S'} won by pair
(2) {'AD', '4C', 'KS', '4H', 'TS'} won by pair
(2) {'KD', '4C', 'KS', '5D', '7H'} won by pair
(1) {'2H', '2S', 'JC', '6S', '9C'} won by pair
(1) {'8S', '7S', 'AC', 'KC', '8H'} won by a higher pair A
(1) {'JH', '2D', 'JS', '4S', '8C'} won by a higher pair A
(2) {'7C', 'AS', '5S', 'AC', '8H'} won by pair
(2) {'2S', 'QH', '6S', '2C', '9C'} won by pair
(2) {'TC', '8S', 'QS', 'QD', '8D'} won by 2 pair
(1) {'5S', '9H', 'AH', '9C', '3D'} won by pair
(2) {'7S', 'KH', 'KC', '9H', '6D'} won by pair
(2) {'JH', 'AC', '7D', '2S', '8C'} won by high card A
(1) {'3S', '9D', 'QD', 'JC', '9C'} won by a higher pair K
(2) {'3H', '8H', '9S', '9H', '8C'} won by 2 pair
(2) {'TC', 'AD', '4S', '9H', 'AH'} won by a higher pair A
(1) {'TH', 'AC', 'KC', 'QC', 'TS'} won by pair
(2) {'2H', '9H', 'JC', 'AH', 'TS'} won by high card A
(1) {'3H', '4D', '5D', 'QH', '9C'} won by high card Q
(2) {'AC', 'JD', 'JS', '8D', 'TS'} won by pair
(2) {'AD', '5S', '2S', '2C', '8C'} won by pair
(2) {'TC', '7D', 'QD', 'QH', '6H'} won by pair
(1) {'KD', '5S', 'KC', '2C', '7H'} won by a higher pair A
(1) {'5C', '5H', 'AC', '6H', '2C'} won by a higher pair A
(2) {'4C', 'KS', 'JD', '4H', '8C'} won by pair
(2) {'4C', 'AS', 'QS', 'QC', '3D'} won by pair
(2) {'3C', 'KH', '7D', 'JS', '6H'} won by high card K
(1) {'8S', '7D', '2H', 'QD', '2C'} won by pair
(2) {'7C', 'AD', 'QD', '8D', '6S'} won by high card A
(1) {'3S', '7C', 'AD', '2H', '9H'} won by high card A
(2) {'TC', '8S', 'TD', '7S', '8H'} won by 2 pair
(1) {'3S', 'JH', 'TD', 'TH', '4D'} won by a higher pair Q
(2) {'9D', 'QC', '4S', '4H', '9S'} won by 2 pair
(1) {'9D', 'JD', 'JS', '6H', '8C'} won by pair
(1) {'7C', '8S', 'TD', 'KC', '3D'} won by high card K
(2) {'TC', 'KS', '5S', 'AC', 'KC'} won by pair
(2) {'KD', '2D', '6H', '8C', '6D'} won by pair
(2) {'2D', 'AC', '6S', '5C', 'TS'} won by high card A
(1) {'5H', '3C', '5S', '4S', '8C'} won by a higher pair A
(1) {'7C', '3H', 'AD', 'AS', 'TS'} won by a higher pair A
(2) {'5H', '5D', '4H', '9H', 'TS'} won by pair
(1) {'6C', 'TD', '7S', '5C', '7H'} won by a higher pair A
(2) {'8S', 'KH', 'QS', '8D', 'TS'} won by pair
(2) {'AC', '8H', '2C', '9S', 'AH'} won by a higher pair A
(2) {'AS', 'JD', '4D', 'AH', '3D'} won by pair
(2) {'6C', 'JH', 'KH', 'QC', 'JS'} won by a higher pair K
(1) {'7S', '2D', 'TH', 'KC', '6H'} won by high card K
(2) {'TH', '2H', '5D', '2C', '6D'} won by pair
(2) {'8S', 'TD', '7S', '9H', 'TS'} won by pair
(1) {'2H', 'JD', 'JS', 'JC', '6D'} won by three
(1) {'KH', 'JD', '5D', '4H', '9S'} won by high card K
(2) {'7S', 'KH', 'QS', '4D', 'QH'} won by a higher pair K
(2) {'3S', '4C', '5S', '6H', '2C'} won by straight
(1) {'AS', 'QS', 'JD', '8D', '3D'} won by high card A
(1) {'7S', '2H', 'QC', '8C', '7H'} won by pair
(1) {'6C', 'KH', '5S', '7D', '7H'} won by pair
(2) {'2D', 'KS', '4D', '4S', '8C'} won by pair
(2) {'9D', 'AD', 'TD', '2C', 'AH'} won by a higher pair A
(1) {'JH', 'AD', '3C', 'KS', '4S'} won by high card A
(1) {'7C', 'TD', 'AS', 'JD', '4D'} won by high card A
(1) {'8S', '3H', '9S', '6S', '9C'} won by pair
(2) {'9D', 'TD', 'AS', '7D', '8C'} won by high card A
(2) {'7S', '3C', 'KH', 'QC', '3D'} won by pair
(1) {'4C', 'AS', 'QS', '5S', '4D'} won by pair
(1) {'6C', '5H', '4C', 'AH', '6D'} won by pair
(2) {'3S', '6C', 'KH', 'AC', '6S'} won by pair
(2) {'3S', 'AS', 'QC', '6S', '7H'} won by high card A
(2) {'AS', 'KC', '2C', '4H', 'AH'} won by pair
(1) {'JH', '2D', '6H', '2C', '9C'} won by pair
(2) {'AD', 'AS', 'QC', '6S', '6H'} won by 2 pair
(2) {'3C', 'QS', 'TH', 'JS', '3D'} won by pair
